"PC1","PC2","PC3","PC4","PC5","PC6","physical","mental","temporal","performance","effort","frustration"
-3.47419831645655,0.420407575459807,0.490326687807912,0.3305771179946,0.33532863416176,0.10564758070922,1,1,1,1,1,1
-0.613873463100209,0.52917337417401,0.38399839005388,0.849905231023109,0.145851733617578,0.198639591708927,2,3,3,2,3,3
-1.01302528243293,-0.199976384825178,0.349881052191995,-0.0250560103926336,-0.0415806298553747,-0.0256472135568245,2,3,2,3,3,2
-0.0815097964407118,-0.505127857375659,-0.0919897426186538,1.25549825314382,-0.22644476860497,-0.709028679010893,1,3,3,3,5,3
-0.661126430212557,0.148099444442188,-0.199404349561652,0.373592743437734,0.515298743617826,0.546728658965232,2,4,2,2,3,3
-2.41341014361143,0.23704886852346,-1.00021679738248,-0.246171836245755,-0.0644249506329972,1.62465599195263,1,5,1,1,1,1
-3.18011089703721,0.334704645168601,0.185516704797451,0.400733802402269,0.349983746051981,-0.378675044402299,1,1,1,1,2,1
0.163351437984239,1.28203328758869,-0.123397346660369,-0.716177947146465,-0.106474822664747,0.622200174756179,4,5,3,2,3,2
-0.379567056718841,0.952313562405729,0.0543802158639421,-0.102397653232811,-0.209297706250012,0.324790945305356,3,4,3,2,3,2
-0.971738779156124,0.670636518899633,-0.240401375832483,-0.558701569632604,-0.0832911154150194,-0.742204694025956,3,3,2,2,4,1
0.223132451022209,0.773190169065765,-0.0985891554808922,0.306281621517124,0.263329729093064,0.0117261960482299,3,4,3,2,4,3
4.03930572087696,0.70598361982831,0.317302965591777,-1.00491300916023,-0.476226223972823,0.105794899570714,6,7,5,5,6,4
-1.02554969071345,-0.621375463476311,-0.21761312787889,0.300349806400843,-0.344280305838019,0.436447762614058,1,4,2,3,3,2
0.813303912837638,1.48398382398055,0.307036021610329,0.168813815188845,-0.00329439732191855,-0.038953641757253,4,4,4,2,4,3
-0.132732604411852,0.485536702382701,-0.833832506762051,-0.508553456410516,0.174804415640457,0.188557387450142,3,5,2,2,4,2
4.1732604969984,1.48097305556158,0.72405617475126,0.0142354708155974,-0.188855464301181,-0.0496703979743874,6,6,6,4,6,5
2.89368771843283,0.555387287985315,0.648049899460922,-0.799811989996514,-1.05167654290116,0.121450419377018,5,6,5,5,5,3
-0.367039010793219,0.0623965141509822,-0.504214332572113,0.443749427845403,0.529953855508047,0.0624060338537129,2,4,2,2,4,3
1.37642993511527,0.46977980609587,-1.43757230455236,0.959938817591137,-0.579383525506765,-0.0834089396385261,2,6,4,2,6,3
-2.10482873567463,-0.369876861198108,-0.468248990399394,0.192546530609329,0.0805101274146983,-0.988934085671296,1,2,1,2,4,1
-0.244226667558436,-1.72933111818261,0.659033656317226,0.444589515614486,-0.169405366734323,-0.299100877167542,1,3,2,5,4,3
-0.96973851853427,0.241519907490947,-0.351244961227279,0.0350701530954683,0.0573264201649709,0.375470783110839,2,4,2,2,3,2
0.32089234005085,-0.550019493664216,1.05575920177362,0.0863804450014691,-1.47798073089001,0.374699172649501,2,4,4,5,3,2
-1.51265701323735,-0.0881998176920125,-0.173467398702968,0.648850447009123,-0.0454964634202943,0.0780615536600164,1,3,2,2,3,2
3.94876598986595,-0.116586602219638,0.435026239395519,-1.54135166023371,-0.205686263992921,0.0527659701593562,6,7,4,6,6,4
0.358340921325739,-0.1080613059859,0.406550517096833,-0.440867772921523,-0.592333486797861,-0.202263467519785,3,4,3,4,4,2
0.964881988713807,-1.16984611018525,-0.813581326102634,0.832967058383124,-0.610511895331163,-0.455212992357517,1,5,3,4,6,3
2.62465275321963,0.172572248672907,0.961759514106212,-0.649227410119446,-0.0243804170506824,-0.118706843133989,5,5,4,5,5,4
2.49328220491802,1.48247843977107,0.515546098180794,0.091524643002221,-0.0960749308115496,-0.0443120198658203,5,5,5,3,5,4
-0.681617562950476,0.64535595119273,-1.82974011187775,-0.904731209322208,0.399718056495795,-0.477320255213507,3,5,1,1,5,1
-1.85599766039089,0.0455457942760566,-0.341216569913243,-0.491390447711994,0.168677899109743,-0.207202231108954,2,3,1,2,3,1
-0.379563419073739,-0.359002564500151,-1.071708512643,0.76915524463888,0.227254179525403,0.524501010024596,1,5,2,2,4,3
-3.25228803714393,-0.0669283935904051,0.818816829929589,0.126263715946409,0.136483187942725,0.0842816868524094,1,1,1,2,1,1
2.30748609747619,-1.52714485641965,0.400864746897566,0.625395038300729,-0.81685459073136,-0.377366742022229,2,5,4,6,6,4
2.17699427259247,0.718589470726834,0.245852973210553,-0.234203264706086,1.30066820503918,0.0636197848794788,5,5,3,3,5,5
-2.63135421971036,0.66396247498937,-0.0441781864693484,0.374327889899709,-0.333933564434556,0.896814821885473,1,3,2,1,1,1
-1.51662321645104,-0.0277774551077103,-1.45799615173777,0.232664122911849,0.4228575966003,0.827268617583985,1,5,1,1,3,2
1.18111304699935,-1.63229199583126,0.412301445826572,0.363667163825273,0.749423767557963,0.72057620680292,2,5,2,5,4,5
-1.58483415334407,-0.489832856451018,0.45983272642917,0.374380360553263,-0.25899702152955,0.541018284914725,1,3,2,3,2,2
1.06735852316226,-1.12857292082041,0.690894930042588,-0.993681815577992,-1.08996277543462,0.134756847577446,3,5,3,6,4,2
-0.688047226183678,-0.754659180082189,0.00205337207387353,0.853216319710867,0.228285525703747,-0.25636908945392,1,3,2,3,4,3
2.18467375424141,0.264582775913945,-0.762383241991773,0.624554950531647,-0.11749536848899,-0.0158598310009739,3,6,4,3,6,4
-2.07206975707974,0.532419867964077,-0.721624040777407,0.30029733574729,-0.419216848743025,0.792244299584806,1,4,2,1,2,1
2.54178886621246,0.207311458717949,1.19733530121457,-1.19846074382688,-1.60855591637437,-0.450925453145039,5,5,5,6,5,2
-1.25342643386161,0.35549947956689,-1.71978843764058,-0.505294838376312,0.18230166482162,0.0893452432580427,2,5,1,1,4,1
