target,grouping_type,grouping_desc,class,count,percent
mental,3-class,"(1)/(2,3,4)/(5,6,7)",Low,99,5.27
mental,3-class,"(1)/(2,3,4)/(5,6,7)",Medium,1017,54.18
mental,3-class,"(1)/(2,3,4)/(5,6,7)",High,761,40.54
mental,3-class,"(1)/(2,3,4,5)/(6,7)",Low,99,5.27
mental,3-class,"(1)/(2,3,4,5)/(6,7)",Medium,1422,75.76
mental,3-class,"(1)/(2,3,4,5)/(6,7)",High,356,18.97
mental,3-class,"(1)/(2,3,4,5,6)/(7)",Low,99,5.27
mental,3-class,"(1)/(2,3,4,5,6)/(7)",Medium,1650,87.91
mental,3-class,"(1)/(2,3,4,5,6)/(7)",High,128,6.82
mental,3-class,"(1,2)/(3)/(4,5,6,7)",Low,387,20.62
mental,3-class,"(1,2)/(3)/(4,5,6,7)",Medium,345,18.38
mental,3-class,"(1,2)/(3)/(4,5,6,7)",High,1145,61
mental,3-class,"(1,2)/(3,4)/(5,6,7)",Low,387,20.62
mental,3-class,"(1,2)/(3,4)/(5,6,7)",Medium,729,38.84
mental,3-class,"(1,2)/(3,4)/(5,6,7)",High,761,40.54
mental,3-class,"(1,2)/(3,4,5)/(6,7)",Low,387,20.62
mental,3-class,"(1,2)/(3,4,5)/(6,7)",Medium,1134,60.42
mental,3-class,"(1,2)/(3,4,5)/(6,7)",High,356,18.97
mental,3-class,"(1,2)/(3,4,5,6)/(7)",Low,387,20.62
mental,3-class,"(1,2)/(3,4,5,6)/(7)",Medium,1362,72.56
mental,3-class,"(1,2)/(3,4,5,6)/(7)",High,128,6.82
mental,3-class,"(1,2,3)/(4)/(5,6,7)",Low,732,39
mental,3-class,"(1,2,3)/(4)/(5,6,7)",Medium,384,20.46
mental,3-class,"(1,2,3)/(4)/(5,6,7)",High,761,40.54
mental,3-class,"(1,2,3)/(4,5)/(6,7)",Low,732,39
mental,3-class,"(1,2,3)/(4,5)/(6,7)",Medium,789,42.04
mental,3-class,"(1,2,3)/(4,5)/(6,7)",High,356,18.97
mental,3-class,"(1,2,3)/(4,5,6)/(7)",Low,732,39
mental,3-class,"(1,2,3)/(4,5,6)/(7)",Medium,1017,54.18
mental,3-class,"(1,2,3)/(4,5,6)/(7)",High,128,6.82
mental,3-class,"(1,2,3,4)/(5)/(6,7)",Low,1116,59.46
mental,3-class,"(1,2,3,4)/(5)/(6,7)",Medium,405,21.58
mental,3-class,"(1,2,3,4)/(5)/(6,7)",High,356,18.97
mental,3-class,"(1,2,3,4)/(5,6)/(7)",Low,1116,59.46
mental,3-class,"(1,2,3,4)/(5,6)/(7)",Medium,633,33.72
mental,3-class,"(1,2,3,4)/(5,6)/(7)",High,128,6.82
mental,3-class,"(1,2,3,4,5)/(6)/(7)",Low,1521,81.03
mental,3-class,"(1,2,3,4,5)/(6)/(7)",Medium,228,12.15
mental,3-class,"(1,2,3,4,5)/(6)/(7)",High,128,6.82
mental,2-class,"(1) vs (2,3,4,5,6,7)",Low,99,5.27
mental,2-class,"(1) vs (2,3,4,5,6,7)",High,1778,94.73
mental,2-class,"(1,2) vs (3,4,5,6,7)",Low,387,20.62
mental,2-class,"(1,2) vs (3,4,5,6,7)",High,1490,79.38
mental,2-class,"(1,2,3) vs (4,5,6,7)",Low,732,39
mental,2-class,"(1,2,3) vs (4,5,6,7)",High,1145,61
mental,2-class,"(1,2,3,4) vs (5,6,7)",Low,1116,59.46
mental,2-class,"(1,2,3,4) vs (5,6,7)",High,761,40.54
mental,2-class,"(1,2,3,4,5) vs (6,7)",Low,1521,81.03
mental,2-class,"(1,2,3,4,5) vs (6,7)",High,356,18.97
mental,2-class,"(1,2,3,4,5,6) vs (7)",Low,1749,93.18
mental,2-class,"(1,2,3,4,5,6) vs (7)",High,128,6.82
temporal,7-class,"1,2,3,4,5,6,7",1,464,24.72
temporal,7-class,"1,2,3,4,5,6,7",2,618,32.92
temporal,7-class,"1,2,3,4,5,6,7",3,382,20.35
temporal,7-class,"1,2,3,4,5,6,7",4,247,13.16
temporal,7-class,"1,2,3,4,5,6,7",5,127,6.77
temporal,7-class,"1,2,3,4,5,6,7",6,29,1.55
temporal,7-class,"1,2,3,4,5,6,7",7,10,0.53
temporal,3-class,"(1)/(2)/(3,4,5,6,7)",Low,464,24.72
temporal,3-class,"(1)/(2)/(3,4,5,6,7)",Medium,618,32.92
temporal,3-class,"(1)/(2)/(3,4,5,6,7)",High,795,42.35
temporal,3-class,"(1)/(2,3)/(4,5,6,7)",Low,464,24.72
temporal,3-class,"(1)/(2,3)/(4,5,6,7)",Medium,1000,53.28
temporal,3-class,"(1)/(2,3)/(4,5,6,7)",High,413,22
temporal,3-class,"(1)/(2,3,4)/(5,6,7)",Low,464,24.72
temporal,3-class,"(1)/(2,3,4)/(5,6,7)",Medium,1247,66.44
temporal,3-class,"(1)/(2,3,4)/(5,6,7)",High,166,8.84
temporal,3-class,"(1)/(2,3,4,5)/(6,7)",Low,464,24.72
temporal,3-class,"(1)/(2,3,4,5)/(6,7)",Medium,1374,73.2
temporal,3-class,"(1)/(2,3,4,5)/(6,7)",High,39,2.08
temporal,3-class,"(1)/(2,3,4,5,6)/(7)",Low,464,24.72
temporal,3-class,"(1)/(2,3,4,5,6)/(7)",Medium,1403,74.75
temporal,3-class,"(1)/(2,3,4,5,6)/(7)",High,10,0.53
temporal,3-class,"(1,2)/(3)/(4,5,6,7)",Low,1082,57.65
temporal,3-class,"(1,2)/(3)/(4,5,6,7)",Medium,382,20.35
temporal,3-class,"(1,2)/(3)/(4,5,6,7)",High,413,22
temporal,3-class,"(1,2)/(3,4)/(5,6,7)",Low,1082,57.65
temporal,3-class,"(1,2)/(3,4)/(5,6,7)",Medium,629,33.51
temporal,3-class,"(1,2)/(3,4)/(5,6,7)",High,166,8.84
temporal,3-class,"(1,2)/(3,4,5)/(6,7)",Low,1082,57.65
temporal,3-class,"(1,2)/(3,4,5)/(6,7)",Medium,756,40.28
temporal,3-class,"(1,2)/(3,4,5)/(6,7)",High,39,2.08
temporal,3-class,"(1,2)/(3,4,5,6)/(7)",Low,1082,57.65
temporal,3-class,"(1,2)/(3,4,5,6)/(7)",Medium,785,41.82
temporal,3-class,"(1,2)/(3,4,5,6)/(7)",High,10,0.53
temporal,3-class,"(1,2,3)/(4)/(5,6,7)",Low,1464,78
temporal,3-class,"(1,2,3)/(4)/(5,6,7)",Medium,247,13.16
temporal,3-class,"(1,2,3)/(4)/(5,6,7)",High,166,8.84
temporal,3-class,"(1,2,3)/(4,5)/(6,7)",Low,1464,78
temporal,3-class,"(1,2,3)/(4,5)/(6,7)",Medium,374,19.93
temporal,3-class,"(1,2,3)/(4,5)/(6,7)",High,39,2.08
temporal,3-class,"(1,2,3)/(4,5,6)/(7)",Low,1464,78
temporal,3-class,"(1,2,3)/(4,5,6)/(7)",Medium,403,21.47
temporal,3-class,"(1,2,3)/(4,5,6)/(7)",High,10,0.53
temporal,3-class,"(1,2,3,4)/(5)/(6,7)",Low,1711,91.16
temporal,3-class,"(1,2,3,4)/(5)/(6,7)",Medium,127,6.77
temporal,3-class,"(1,2,3,4)/(5)/(6,7)",High,39,2.08
temporal,3-class,"(1,2,3,4)/(5,6)/(7)",Low,1711,91.16
temporal,3-class,"(1,2,3,4)/(5,6)/(7)",Medium,156,8.31
temporal,3-class,"(1,2,3,4)/(5,6)/(7)",High,10,0.53
temporal,3-class,"(1,2,3,4,5)/(6)/(7)",Low,1838,97.92
temporal,3-class,"(1,2,3,4,5)/(6)/(7)",Medium,29,1.55
temporal,3-class,"(1,2,3,4,5)/(6)/(7)",High,10,0.53
temporal,2-class,"(1) vs (2,3,4,5,6,7)",Low,464,24.72
temporal,2-class,"(1) vs (2,3,4,5,6,7)",High,1413,75.28
temporal,2-class,"(1,2) vs (3,4,5,6,7)",Low,1082,57.65
temporal,2-class,"(1,2) vs (3,4,5,6,7)",High,795,42.35
temporal,2-class,"(1,2,3) vs (4,5,6,7)",Low,1464,78
temporal,2-class,"(1,2,3) vs (4,5,6,7)",High,413,22
temporal,2-class,"(1,2,3,4) vs (5,6,7)",Low,1711,91.16
temporal,2-class,"(1,2,3,4) vs (5,6,7)",High,166,8.84
temporal,2-class,"(1,2,3,4,5) vs (6,7)",Low,1838,97.92
temporal,2-class,"(1,2,3,4,5) vs (6,7)",High,39,2.08
temporal,2-class,"(1,2,3,4,5,6) vs (7)",Low,1867,99.47
temporal,2-class,"(1,2,3,4,5,6) vs (7)",High,10,0.53
performance,7-class,"1,2,3,4,5,6,7",1,263,14.01
performance,7-class,"1,2,3,4,5,6,7",2,579,30.85
performance,7-class,"1,2,3,4,5,6,7",3,398,21.2
performance,7-class,"1,2,3,4,5,6,7",4,300,15.98
performance,7-class,"1,2,3,4,5,6,7",5,229,12.2
performance,7-class,"1,2,3,4,5,6,7",6,91,4.85
performance,7-class,"1,2,3,4,5,6,7",7,17,0.91
performance,3-class,"(1)/(2)/(3,4,5,6,7)",Low,263,14.01
performance,3-class,"(1)/(2)/(3,4,5,6,7)",Medium,579,30.85
performance,3-class,"(1)/(2)/(3,4,5,6,7)",High,1035,55.14
performance,3-class,"(1)/(2,3)/(4,5,6,7)",Low,263,14.01
performance,3-class,"(1)/(2,3)/(4,5,6,7)",Medium,977,52.05
performance,3-class,"(1)/(2,3)/(4,5,6,7)",High,637,33.94
performance,3-class,"(1)/(2,3,4)/(5,6,7)",Low,263,14.01
performance,3-class,"(1)/(2,3,4)/(5,6,7)",Medium,1277,68.03
performance,3-class,"(1)/(2,3,4)/(5,6,7)",High,337,17.95
performance,3-class,"(1)/(2,3,4,5)/(6,7)",Low,263,14.01
performance,3-class,"(1)/(2,3,4,5)/(6,7)",Medium,1506,80.23
performance,3-class,"(1)/(2,3,4,5)/(6,7)",High,108,5.75
